NORTHEAST REGION FISH BYCATCH BY FISHERY ,,,,,,
First Edition Update 1: 2010 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Mid-Atlantic Extra-Large-Mesh Gillnet,,,,,,
Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,2010,                   0.00,POUND,,a
American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,2010,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2010,                 136.48,POUND,.7131,b
Atlantic halibut - Northwestern Atlantic Coast,Hippoglossus hippoglossus,2010,                   0.00,POUND,,
Atlantic herring - Northwestern Atlantic Coast,Clupea harengus,2010,                   0.00,POUND,,
Atlantic mackerel - Gulf of Maine / Cape Hatteras,Scomber scombrus,2010,                   9.10,POUND,.7142,
Atlantic salmon - Gulf of Maine,Salmo salar,2010,                   0.00,POUND,,c
Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,2010,                   0.00,POUND,,
Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,2010,                   0.00,POUND,,d
Black sea bass - Mid-Atlantic Coast,Centropristis striata,2010,                   0.00,POUND,,
Bluefish - Atlantic Coast,Pomatomus saltatrix,2010,"              11,332.63",POUND,.3653,
Butterfish - Gulf of Maine / Cape Hatteras,Peprilus triacanthus,2010,                  18.20,POUND,.7221,
Goosefish,Lophius americanus,2010,"             145,971.69",POUND,.2901,"e, f"
Haddock,Melanogrammus aeglefinus,2010,                   0.00,POUND,,g
Longfin inshore squid - Georges Bank / Cape Hatteras,Loligo pealeii,2010,                   0.00,POUND,,h
Northern shortfin squid - Northwestern Atlantic Coast,Illex illecebrosus,2010,                   0.00,POUND,,i
Ocean pout - Northwestern Atlantic Coast,Zoarces americanus,2010,                   0.00,POUND,,
Ocean quahog - Atlantic Coast,Arctica islandica,2010,                   0.00,POUND,,
Offshore hake - Northwestern Atlantic Coast,Merluccius albidus,2010,                   0.00,POUND,,
Pollock - Gulf of Maine / Georges Bank,Pollachius virens,2010,                   0.00,POUND,,
Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,2010,                   0.00,POUND,,j
Red hake,Urophycis chuss,2010,                   3.03,POUND,.7178,k
Scup - Atlantic Coast,Stenotomus chrysops,2010,                  30.33,POUND,.7179,
Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,2010,                  57.98,POUND,1.9363,l
Silver hake,Merluccius bilinearis,2010,                   0.00,POUND,,m
Skate Complex,Rajidae,2010,"             836,072.91",POUND,.2806,"n, o"
Spiny dogfish - Atlantic Coast,Squalus acanthias,2010,"              71,442.00",POUND,.2461,
Summer flounder - Mid-Atlantic Coast,Paralichthys dentatus,2010,"               7,926.78",POUND,.2131,
Tilefish - Mid-Atlantic Coast,Lopholatilus chamaeleonticeps,2010,                   0.00,POUND,,
White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,2010,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2010,                  51.74,POUND,3.4549,"p, q"
Winter flounder,Pseudopleuronectes americanus,2010,                   0.00,POUND,,r
Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,2010,                   0.00,POUND,,
Yellowtail flounder,Limanda ferruginea,2010,                   0.00,POUND,,s
TOTAL FISHERY BYCATCH,,,"           1,073,052.87",POUND,,
TOTAL FISHERY LANDINGS,,,"           6,201,200.59",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"           7,274,253.46",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.15,,,
Mid-Atlantic General Category Closed Area Scallop Dredge,,,,,,
Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,2010,                   0.00,POUND,,a
American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,2010,                  72.75,POUND,1.0569,
Atlantic cod,Gadus morhua,2010,                   0.00,POUND,,b
Atlantic halibut - Northwestern Atlantic Coast,Hippoglossus hippoglossus,2010,                   0.00,POUND,,
Atlantic herring - Northwestern Atlantic Coast,Clupea harengus,2010,                   0.00,POUND,,
Atlantic mackerel - Gulf of Maine / Cape Hatteras,Scomber scombrus,2010,                   0.00,POUND,,
Atlantic salmon - Gulf of Maine,Salmo salar,2010,                   0.00,POUND,,c
Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,2010,                   0.00,POUND,,
Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,2010,                   0.00,POUND,,d
Black sea bass - Mid-Atlantic Coast,Centropristis striata,2010,                 231.50,POUND,1.9858,
Bluefish - Atlantic Coast,Pomatomus saltatrix,2010,                   0.00,POUND,,
Butterfish - Gulf of Maine / Cape Hatteras,Peprilus triacanthus,2010,                   0.00,POUND,,
Goosefish,Lophius americanus,2010,"              61,417.36",POUND,.317,"e, f"
Haddock,Melanogrammus aeglefinus,2010,                   0.00,POUND,,g
Longfin inshore squid - Georges Bank / Cape Hatteras,Loligo pealeii,2010,                   0.00,POUND,,h
Northern shortfin squid - Northwestern Atlantic Coast,Illex illecebrosus,2010,                   0.00,POUND,,i
Ocean pout - Northwestern Atlantic Coast,Zoarces americanus,2010,                   0.00,POUND,,
Ocean quahog - Atlantic Coast,Arctica islandica,2010,                   0.00,POUND,,
Offshore hake - Northwestern Atlantic Coast,Merluccius albidus,2010,                   0.00,POUND,,
Pollock - Gulf of Maine / Georges Bank,Pollachius virens,2010,                   0.00,POUND,,
Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,2010,                   0.00,POUND,,j
Red hake,Urophycis chuss,2010,                 115.75,POUND,1.9858,k
Scup - Atlantic Coast,Stenotomus chrysops,2010,                  14.55,POUND,1.0068,
Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,2010,"             343,549.14",POUND,.4469,l
Silver hake,Merluccius bilinearis,2010,                 428.87,POUND,.5822,m
Skate Complex,Rajidae,2010,"             411,939.11",POUND,.5418,"n, o"
Spiny dogfish - Atlantic Coast,Squalus acanthias,2010,"              15,249.25",POUND,.8338,
Summer flounder - Mid-Atlantic Coast,Paralichthys dentatus,2010,"              66,930.97",POUND,.6085,
Tilefish - Mid-Atlantic Coast,Lopholatilus chamaeleonticeps,2010,                   0.00,POUND,,
White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,2010,                 513.98,POUND,.8253,
Windowpane,Scophthalmus aquosus,2010,                 166.21,POUND,.5297,"p, q"
Winter flounder,Pseudopleuronectes americanus,2010,"               1,785.81",POUND,.9535,r
Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,2010,                 231.36,POUND,.538,
Yellowtail flounder,Limanda ferruginea,2010,                   0.00,POUND,,s
TOTAL FISHERY BYCATCH,,,"             902,646.61",POUND,,
TOTAL FISHERY LANDINGS,,,"           9,851,716.25",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"          10,754,362.86",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.08,,,
Mid-Atlantic General Category Closed Area Scallop Trawl,,,,,,
Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,2010,                   0.00,POUND,,a
American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,2010,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2010,                   0.00,POUND,,b
Atlantic halibut - Northwestern Atlantic Coast,Hippoglossus hippoglossus,2010,                   0.00,POUND,,
Atlantic herring - Northwestern Atlantic Coast,Clupea harengus,2010,                   0.00,POUND,,
Atlantic mackerel - Gulf of Maine / Cape Hatteras,Scomber scombrus,2010,                   0.00,POUND,,
Atlantic salmon - Gulf of Maine,Salmo salar,2010,                   0.00,POUND,,c
Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,2010,                   0.00,POUND,,
Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,2010,                   0.00,POUND,,d
Black sea bass - Mid-Atlantic Coast,Centropristis striata,2010,                   0.00,POUND,,
Bluefish - Atlantic Coast,Pomatomus saltatrix,2010,                   0.00,POUND,,
Butterfish - Gulf of Maine / Cape Hatteras,Peprilus triacanthus,2010,                   0.00,POUND,,
Goosefish,Lophius americanus,2010,"               2,754.14",POUND,.2228,"e, f"
Haddock,Melanogrammus aeglefinus,2010,                   0.00,POUND,,g
Longfin inshore squid - Georges Bank / Cape Hatteras,Loligo pealeii,2010,                  19.01,POUND,1.0131,h
Northern shortfin squid - Northwestern Atlantic Coast,Illex illecebrosus,2010,                  32.23,POUND,1.2048,i
Ocean pout - Northwestern Atlantic Coast,Zoarces americanus,2010,                   0.00,POUND,,
Ocean quahog - Atlantic Coast,Arctica islandica,2010,                   0.00,POUND,,
Offshore hake - Northwestern Atlantic Coast,Merluccius albidus,2010,                   0.00,POUND,,
Pollock - Gulf of Maine / Georges Bank,Pollachius virens,2010,                   0.00,POUND,,
Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,2010,                   0.00,POUND,,j
Red hake,Urophycis chuss,2010,                   2.89,POUND,.4366,k
Scup - Atlantic Coast,Stenotomus chrysops,2010,                   2.89,POUND,.4366,
Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,2010,"              27,174.44",POUND,.5968,l
Silver hake,Merluccius bilinearis,2010,                  93.48,POUND,1.015,m
Skate Complex,Rajidae,2010,"              14,614.76",POUND,.4231,"n, o"
Spiny dogfish - Atlantic Coast,Squalus acanthias,2010,"               5,630.76",POUND,.4366,
Summer flounder - Mid-Atlantic Coast,Paralichthys dentatus,2010,"               1,078.21",POUND,.4211,
Tilefish - Mid-Atlantic Coast,Lopholatilus chamaeleonticeps,2010,                   0.00,POUND,,
White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,2010,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2010,                 515.07,POUND,.4138,"p, q"
Winter flounder,Pseudopleuronectes americanus,2010,                   0.00,POUND,,r
Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,2010,                   0.00,POUND,,
Yellowtail flounder,Limanda ferruginea,2010,                   0.00,POUND,,s
TOTAL FISHERY BYCATCH,,,"              51,917.88",POUND,,
TOTAL FISHERY LANDINGS,,,"           1,308,404.33",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"           1,360,322.21",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.04,,,
Mid-Atlantic General Category Open Area Scallop Dredge,,,,,,
Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,2010,                   0.00,POUND,,a
American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,2010,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2010,                   0.00,POUND,,b
Atlantic halibut - Northwestern Atlantic Coast,Hippoglossus hippoglossus,2010,                   0.00,POUND,,
Atlantic herring - Northwestern Atlantic Coast,Clupea harengus,2010,                   0.00,POUND,,
Atlantic mackerel - Gulf of Maine / Cape Hatteras,Scomber scombrus,2010,                   0.00,POUND,,
Atlantic salmon - Gulf of Maine,Salmo salar,2010,                   0.00,POUND,,c
Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,2010,                  63.96,POUND,.9528,
Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,2010,                   0.00,POUND,,d
Black sea bass - Mid-Atlantic Coast,Centropristis striata,2010,                  84.01,POUND,.8612,
Bluefish - Atlantic Coast,Pomatomus saltatrix,2010,                   0.00,POUND,,
Butterfish - Gulf of Maine / Cape Hatteras,Peprilus triacanthus,2010,                   0.00,POUND,,
Goosefish,Lophius americanus,2010,"               1,815.16",POUND,.3955,"e, f"
Haddock,Melanogrammus aeglefinus,2010,                   0.00,POUND,,g
Longfin inshore squid - Georges Bank / Cape Hatteras,Loligo pealeii,2010,                  32.54,POUND,.7332,h
Northern shortfin squid - Northwestern Atlantic Coast,Illex illecebrosus,2010,                   0.00,POUND,,i
Ocean pout - Northwestern Atlantic Coast,Zoarces americanus,2010,                   0.00,POUND,,
Ocean quahog - Atlantic Coast,Arctica islandica,2010,                  18.15,POUND,1.0546,
Offshore hake - Northwestern Atlantic Coast,Merluccius albidus,2010,                   0.00,POUND,,
Pollock - Gulf of Maine / Georges Bank,Pollachius virens,2010,                   0.00,POUND,,
Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,2010,                  15.19,POUND,.6804,j
Red hake,Urophycis chuss,2010,                  77.45,POUND,.953,k
Scup - Atlantic Coast,Stenotomus chrysops,2010,                   0.00,POUND,,
Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,2010,"             222,332.17",POUND,.585,l
Silver hake,Merluccius bilinearis,2010,                  65.35,POUND,.9089,m
Skate Complex,Rajidae,2010,"             147,416.46",POUND,.3915,"n, o"
Spiny dogfish - Atlantic Coast,Squalus acanthias,2010,                 233.22,POUND,.6058,
Summer flounder - Mid-Atlantic Coast,Paralichthys dentatus,2010,"              14,887.23",POUND,.5518,
Tilefish - Mid-Atlantic Coast,Lopholatilus chamaeleonticeps,2010,                   0.00,POUND,,
White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,2010,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2010,"               4,039.18",POUND,.4443,"p, q"
Winter flounder,Pseudopleuronectes americanus,2010,                 275.91,POUND,.7242,r
Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,2010,                  21.45,POUND,1.2505,
Yellowtail flounder,Limanda ferruginea,2010,                 604.33,POUND,.445,s
TOTAL FISHERY BYCATCH,,,"             391,981.76",POUND,,
TOTAL FISHERY LANDINGS,,,"           2,443,485.70",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"           2,835,467.46",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.14,,,
Mid-Atlantic General Category Open Area Scallop Trawl,,,,,,
Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,2010,                   0.00,POUND,,a
American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,2010,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2010,                   2.60,POUND,1.5752,b
Atlantic halibut - Northwestern Atlantic Coast,Hippoglossus hippoglossus,2010,                   0.00,POUND,,
Atlantic herring - Northwestern Atlantic Coast,Clupea harengus,2010,                   0.00,POUND,,
Atlantic mackerel - Gulf of Maine / Cape Hatteras,Scomber scombrus,2010,                   0.00,POUND,,
Atlantic salmon - Gulf of Maine,Salmo salar,2010,                   0.00,POUND,,c
Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,2010,                   0.00,POUND,,
Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,2010,                   0.00,POUND,,d
Black sea bass - Mid-Atlantic Coast,Centropristis striata,2010,                 134.48,POUND,.6727,
Bluefish - Atlantic Coast,Pomatomus saltatrix,2010,                   0.00,POUND,,
Butterfish - Gulf of Maine / Cape Hatteras,Peprilus triacanthus,2010,                 266.62,POUND,.3448,
Goosefish,Lophius americanus,2010,"               2,523.28",POUND,.4497,"e, f"
Haddock,Melanogrammus aeglefinus,2010,                   0.00,POUND,,g
Longfin inshore squid - Georges Bank / Cape Hatteras,Loligo pealeii,2010,                   9.73,POUND,.5055,h
Northern shortfin squid - Northwestern Atlantic Coast,Illex illecebrosus,2010,                   1.30,POUND,.4939,i
Ocean pout - Northwestern Atlantic Coast,Zoarces americanus,2010,                 372.71,POUND,.7875,
Ocean quahog - Atlantic Coast,Arctica islandica,2010,                 113.46,POUND,.5103,
Offshore hake - Northwestern Atlantic Coast,Merluccius albidus,2010,                   0.00,POUND,,
Pollock - Gulf of Maine / Georges Bank,Pollachius virens,2010,                   0.00,POUND,,
Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,2010,                   0.00,POUND,,j
Red hake,Urophycis chuss,2010,                 389.37,POUND,.3059,k
Scup - Atlantic Coast,Stenotomus chrysops,2010,                  57.45,POUND,.6537,
Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,2010,"              31,466.75",POUND,.2897,l
Silver hake,Merluccius bilinearis,2010,"               2,823.42",POUND,.5137,m
Skate Complex,Rajidae,2010,"             221,377.51",POUND,.1934,"n, o"
Spiny dogfish - Atlantic Coast,Squalus acanthias,2010,"              12,997.16",POUND,.613,
Summer flounder - Mid-Atlantic Coast,Paralichthys dentatus,2010,"               3,201.47",POUND,.4056,
Tilefish - Mid-Atlantic Coast,Lopholatilus chamaeleonticeps,2010,                   0.00,POUND,,
White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,2010,                 143.22,POUND,1.5112,
Windowpane,Scophthalmus aquosus,2010,"               2,499.94",POUND,.8137,"p, q"
Winter flounder,Pseudopleuronectes americanus,2010,"               2,593.76",POUND,.4194,r
Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,2010,                  85.28,POUND,1.0172,
Yellowtail flounder,Limanda ferruginea,2010,"               6,307.14",POUND,.3017,s
TOTAL FISHERY BYCATCH,,,"             287,366.65",POUND,,
TOTAL FISHERY LANDINGS,,,"             219,429.18",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"             506,795.83",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.57,,,
Mid-Atlantic Large-Mesh Gillnet,,,,,,
Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,2010,                   0.00,POUND,,a
American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,2010,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2010,                   0.00,POUND,,b
Atlantic halibut - Northwestern Atlantic Coast,Hippoglossus hippoglossus,2010,                   0.00,POUND,,
Atlantic herring - Northwestern Atlantic Coast,Clupea harengus,2010,                   0.00,POUND,,
Atlantic mackerel - Gulf of Maine / Cape Hatteras,Scomber scombrus,2010,                   0.00,POUND,,
Atlantic salmon - Gulf of Maine,Salmo salar,2010,                   0.00,POUND,,c
Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,2010,                   0.00,POUND,,
Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,2010,                   0.00,POUND,,d
Black sea bass - Mid-Atlantic Coast,Centropristis striata,2010,                   0.00,POUND,,
Bluefish - Atlantic Coast,Pomatomus saltatrix,2010,"              89,206.86",POUND,.9395,
Butterfish - Gulf of Maine / Cape Hatteras,Peprilus triacanthus,2010,                   0.00,POUND,,
Goosefish,Lophius americanus,2010,                 511.13,POUND,.8215,"e, f"
Haddock,Melanogrammus aeglefinus,2010,                   0.00,POUND,,g
Longfin inshore squid - Georges Bank / Cape Hatteras,Loligo pealeii,2010,                   0.00,POUND,,h
Northern shortfin squid - Northwestern Atlantic Coast,Illex illecebrosus,2010,                   0.00,POUND,,i
Ocean pout - Northwestern Atlantic Coast,Zoarces americanus,2010,                   0.00,POUND,,
Ocean quahog - Atlantic Coast,Arctica islandica,2010,                   0.00,POUND,,
Offshore hake - Northwestern Atlantic Coast,Merluccius albidus,2010,                   0.00,POUND,,
Pollock - Gulf of Maine / Georges Bank,Pollachius virens,2010,                   0.00,POUND,,
Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,2010,                   0.00,POUND,,j
Red hake,Urophycis chuss,2010,                   0.00,POUND,,k
Scup - Atlantic Coast,Stenotomus chrysops,2010,                   0.00,POUND,,
Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,2010,                   0.00,POUND,,l
Silver hake,Merluccius bilinearis,2010,                   0.00,POUND,,m
Skate Complex,Rajidae,2010,"              13,376.47",POUND,.4046,"n, o"
