NORTHEAST REGION MARINE MAMMAL BYCATCH BY FISHERY ,,,,,,
First Edition Update 1: 2010 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Mid-Atlantic Gillnet Fisheries,,,,,,
Bottlenose dolphin - Northern North Carolina Estuarine System,Tursiops truncatus,2006-2008,                  18.99,INDIVIDUAL,.11,t
Bottlenose dolphin - Southern North Carolina Estuarine System,Tursiops truncatus,2006-2008,                   0.92,INDIVIDUAL,.21,u
Bottlenose dolphin - Western North Atlantic Northern Migratory Coastal,Tursiops truncatus,2006-2008,                   6.02,INDIVIDUAL,.19,u
Bottlenose dolphin - Western North Atlantic Southern Migratory Coastal,Tursiops truncatus,2006-2008,                  41.91,INDIVIDUAL,.14,u
Grey seal - Western North Atlantic,Halichoerus grypus,2006-2010,                  53.00,INDIVIDUAL,.76,
Harbor porpoise - Gulf of Maine / Bay of Fundy,Phocoena phocoena,2006-2010,                 275.00,INDIVIDUAL,.29,w
Harbor seal - Western North Atlantic,Phoca vitulina concolor,2006-2010,                  50.00,INDIVIDUAL,.34,
Harp seal - Western North Atlantic,Pagophilus groenlandicus,2006-2010,                  63.00,INDIVIDUAL,.46,
Risso's dolphin - Western North Atlantic,Grampus griseus,2006-2010,                   6.60,INDIVIDUAL,.73,
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2006-2010,                   8.40,INDIVIDUAL,.55,
Fishery Total,,,                 523.84,,,
Mid-Atlantic Mid-Water Otter Trawl,,,,,,
Atlantic white-sided dolphin - Western North Atlantic,Lagenorhynchus acutus,2006-2010,                  12.00,INDIVIDUAL,.45,
Long- and/or short-finned pilot whale,Globicephala,2005-2009,                   2.40,INDIVIDUAL,.99,v
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2006-2010,                   0.60,INDIVIDUAL,.7,
Fishery Total,,,                  15.00,,,
Mid-Atlantic Otter Trawl Fisheries,,,,,,
Atlantic white-sided dolphin - Western North Atlantic,Lagenorhynchus acutus,2006-2010,                  20.00,INDIVIDUAL,.09,
Long- and/or short-finned pilot whale,Globicephala,2005-2009,                  30.00,INDIVIDUAL,.16,v
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2006-2010,                 103.00,INDIVIDUAL,.13,
Fishery Total,,,                 153.00,,,
New England Gillnet Fisheries,,,,,,
Atlantic white-sided dolphin - Western North Atlantic,Lagenorhynchus acutus,2006-2010,                  38.00,INDIVIDUAL,.46,
Grey seal - Western North Atlantic,Halichoerus grypus,2006-2010,                 794.00,INDIVIDUAL,.13,w
Harbor porpoise - Gulf of Maine / Bay of Fundy,Phocoena phocoena,2006-2010,                 511.00,INDIVIDUAL,.17,
Harbor seal - Western North Atlantic,Phoca vitulina concolor,2006-2010,                 280.00,INDIVIDUAL,.17,
Harp seal - Western North Atlantic,Pagophilus groenlandicus,2006-2010,                 218.00,INDIVIDUAL,.2,
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2006-2010,                  30.00,INDIVIDUAL,.42,
Fishery Total,,,"               1,871.00",,,
New England Mid-Water Otter Trawl,,,,,,
Long- and/or short-finned pilot whale,Globicephala,2005-2009,                   3.00,INDIVIDUAL,.61,v
Fishery Total,,,                   3.00,,,
New England Otter Trawl Fisheries,,,,,,
Atlantic white-sided dolphin - Western North Atlantic,Lagenorhynchus acutus,2006-2010,                 142.00,INDIVIDUAL,.15,
Harbor porpoise - Gulf of Maine / Bay of Fundy,Phocoena phocoena,2006-2010,                   4.50,INDIVIDUAL,.3,
Long- and/or short-finned pilot whale,Globicephala,2005-2009,                  12.00,INDIVIDUAL,.14,v
Minke whale - Canadian East Coast,Balaenoptera acutorostrata,2006-2010,                   2.60,INDIVIDUAL,.46,
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2006-2010,                  20.00,INDIVIDUAL,.13,
Fishery Total,,,                 181.10,,,
Grand Total,,,"               2,746.94",,,
