NORTHEAST REGION FISH BYCATCH BY FISHERY 4,,,,,,
First Edition Update 2: 2012 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Mid-Atlantic Extra-Large-Mesh Gillnet,,,,,,
Acadian redfish,Sebastes fasciatus,2012,                   0.00,POUND,,a
American plaice,Hippoglossoides platessoides,2012,                   0.00,POUND,,
Atlantic cod,Gadus morhua,2012,                 265.58,POUND,.7696,b
Atlantic halibut,Hippoglossus hippoglossus,2012,                 566.58,POUND,.7263,
Atlantic herring,Clupea harengus,2012,                   0.00,POUND,,
Atlantic mackerel,Scomber scombrus,2012,                   8.85,POUND,1.0007,
Atlantic salmon,Salmo salar,2012,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2012,                   0.00,POUND,,
Atlantic wolffish,Anarhichas lupus,2012,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2012,                   0.00,POUND,,
Bluefish,Pomatomus saltatrix,2012,"              18,593.79",POUND,.3576,
Butterfish,Peprilus triacanthus,2012,                   0.00,POUND,,
Goosefish,Lophius americanus,2012,"             175,831.17",POUND,.1824,"e, f"
Haddock,Melanogrammus aeglefinus,2012,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2012,                   0.00,POUND,,h
Northern shortfin squid,Illex illecebrosus,2012,                   0.00,POUND,,i
Ocean pout,Zoarces americanus,2012,                   0.00,POUND,,
Ocean quahog,Arctica islandica,2012,                   0.00,POUND,,
Offshore hake,Merluccius albidus,2012,                   0.00,POUND,,
Pollock,Pollachius virens,2012,                 111.54,POUND,1.0136,
Red deepsea crab,Chaceon quinquedens,2012,                   0.00,POUND,,j
Red hake,Urophycis chuss,2012,                   0.00,POUND,,k
Scup,Stenotomus chrysops,2012,                   0.00,POUND,,
Sea scallop,Placopecten magellanicus,2012,                 576.41,POUND,.654,l
Silver hake,Merluccius bilinearis,2012,                  17.71,POUND,.7041,m
Skate Complex,Rajidae,2012,"             724,934.66",POUND,.1961,n
Spiny dogfish,Squalus acanthias,2012,"              99,656.25",POUND,.1459,
Summer flounder,Paralichthys dentatus,2012,"              27,331.95",POUND,.3257,
Tilefish,Lopholatilus chamaeleonticeps,2012,                   0.00,POUND,,
White hake,Urophycis tenuis,2012,                   0.00,POUND,,
Windowpane,Scophthalmus aquosus,2012,                   8.85,POUND,1.0099,"p, q"
