NORTHEAST REGION SEA TURTLE BYCATCH BY FISHERY ,,,,,,
First Edition Update 2: 2012 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Mid-Atlantic Gillnet Fisheries,,,,,,
Loggerhead sea turtle,Caretta caretta,2007-2011,                  95.00,INDIVIDUAL,.21,u
Fishery Total,,,                  95.00,,,
Mid-Atlantic Otter Trawl Fisheries,,,,,,
Loggerhead sea turtle,Caretta caretta,2009-2013,                 231.00,INDIVIDUAL,.13,v
Fishery Total,,,                 231.00,,,
Mid-Atlantic Scallop Dredge Fisheries,,,,,,
Loggerhead sea turtle,Caretta caretta,2009-2014,                  22.00,INDIVIDUAL,.73,w
Fishery Total,,,                  22.00,,,
Grand Total,,,                 348.00,,,
