Index,Fishery,Region,GearType_specific,GearType_general,Year,Target,Target_HMS,Overfishing_Fm,Overfishing_Fm_numeric,Overfishing_Bt,Overfishing_Bt_numeric,TotalBycatch_lbs,TotalBycatch_inds,Bycatch_ratio,ESA_num,ESA_lbs,ESA_birdturt,IUCN_num,IUCN_lbs,IUCN_birdturt,MMPA,VessPers,NORM_Overfishing_Fm,NORM_Overfishing_Bt,NORM_TotalBycatch_lbs,NORM_TotalBycatch_inds,NORM_Bycatch_ratio,NORM_ESA_num,NORM_ESA_lbs,NORM_ESA_birdturt,NORM_IUCN_num,NORM_IUCN_lbs,NORM_IUCN_birdturt,NORM_MMPA,mean_criteria
351,Bering Sea Snow Crab Pot,AK,pots and traps,pots and traps,2014,snow crab,N,None,0,None,0,9024447,0,0.117253425,0,0,0,16,0,0,1,NA,0,0,0.030513322,0,0.139874811,0,0,0,0.355555556,0,0,0,0.043828641
435,Bering Sea Snow Crab Pot,AK,pots and traps,pots and traps,2015,Snow crab,N,None,0,None,0,31724519.53,0,0.438575324,0,0,0,0,0,0,1,NA,0,0,0.107266461,0,0.523188474,0,0,0,0,0,0,0,0.052537911
352,Bering Sea Tanner Crab Pot,AK,pots and traps,pots and traps,2014,Southern Tanner crab,N,None,0,None,0,10476843.37,0,0.43326623,0,0,0,16,0,0,1,NA,0,0,0.035424143,0,0.516855111,0,0,0,0.355555556,0,0,0,0.075652901
436,Bering Sea Tanner Crab Pot,AK,pots and traps,pots and traps,2015,Southern Tanner crab,N,None,0,None,0,18717984.54,0,0.487958529,0,0,0,0,0,0,1,NA,0,0,0.063288963,0,0.582099047,0,0,0,0,0,0,0,0.053782334
353,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2014,"Pacific cod, Greenland halibut, sablefish",Y,None,0,None,0,53267849.07,1406,0.151367776,1,0,9,18,0,39,1,NA,0,0,0.180108438,0.190980712,0.180570751,0.166666667,0,0.007379469,0.4,0,0.031977698,0,0.096473644
437,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2015,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,59630360.15,4219,0.159614407,0,0,0,2,0,103,1,NA,0,0,0.201621263,0.573077968,0.190408382,0,0,0,0.044444444,0,0.084453919,0,0.091167165
NA,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2010,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,21989819.04,3022,0.092664042,1,0,15,3,0,65,2,83,0,0,0.07435164,0.410486281,0.110541465,0.166666667,0,0.012299114,0.066666667,0,0.053296163,0.5,0.116192333
NA,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2011,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,52543324.93,7362,0.158395725,1,0,5,3,0,38,2,83,0,0,0.177658688,1,0.188954583,0.166666667,0,0.004099705,0.066666667,0,0.031157757,0.5,0.177933672
NA,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2012,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,52316063.14,4403,0.143182723,0,0,0,1,0,34,2,505,0,0,0.176890274,0.598071176,0.170806578,0,0,0,0.022222222,0,0.027877993,0.5,0.124655687
NA,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2013,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,53617948.71,3426,0.153584612,0,0,0,1,0,4,1,510,0,0,0.181292189,0.465362673,0.183215275,0,0,0,0.022222222,0,0.003279764,0,0.07128101
