id,Dive_Site,Date,Lat_wgs84,Long_wgs84,Atoll,Atoll_1,Nearest_Island,Approx_start,Description
1,Reethi Bch Baybu,12/1/2016,5.263235,73.176351,Baa,Maalhosmadulu Dhekunuburi,Reethi,,
2,Thiladhoo House Reef,12/1/2016,5.263591,73.157463,Baa,Maalhosmadulu Dhekunuburi,Thiladhoo,,
3,Dhonfanu,12/2/2016,5.184038,73.121077,Baa,Maalhosmadulu Dhekunuburi,Dhonfanu,,
4,Kakaa Thila,12/2/2016,5.191347,73.140078,Baa,Maalhosmadulu Dhekunuburi,Kihaaddhufaru,,
5,Dharavandho Thila,12/3/2016,5.162604,73.123044,Baa,Maalhosmadulu Dhekunuburi,Dharavandho,,
6,Olhugiri,12/3/2016,4.998165,72.9069,Baa,Maalhosmadulu Dhekunuburi,Maduwari,,
7,Rasdhoo Madivaru,12/4/2016,4.264611,73.000759,Alifu Alifu,Ariatholhu Uthuruburi,Madivaru,,
8,Rasdhoo House Reef,12/4/2016,4.261306,72.995308,Alifu Alifu,Ariatholhu Uthuruburi,Rasdhoo,,
9,Nika Point,12/4/2016,4.174272,72.767513,Alifu Alifu,Ariatholhu Uthuruburi,Nika,,
10,Bodufolhudhoo,12/5/2016,4.182637,72.774613,Alifu Alifu,Ariatholhu Uthuruburi,Bodufolhudhoo,,
11,Maaya Thila 1,12/5/2016,4.091002,72.86218,Alifu Alifu,Ariatholhu Uthuruburi,Maayafaushi,,
12,Maaya Thila 2,12/5/2016,4.091002,72.86218,Alifu Alifu,Ariatholhu Uthuruburi,Maayafaushi,,
13,Maavaru Kandu 1,12/6/2016,3.877618,72.701864,Alifu Dhaalu,Ariatholhu Dhekunuburi,Moofushi,,
14,Maavaru Kandu 2,12/6/2016,3.877618,72.701864,Alifu Dhaalu,Ariatholhu Dhekunuburi,Moofushi,,
15,Digga Thila,12/7/2016,3.729809,72.760579,Alifu Dhaalu,Ariatholhu Dhekunuburi,Bulhaaholhi,,
16,Maamigili outside 1,12/7/2016,3.464399,72.843253,Alifu Dhaalu,Ariatholhu Dhekunuburi,Maamigili,,
17,Maamigili outside 2,12/8/2016,3.466402,72.818026,Alifu Dhaalu,Ariatholhu Dhekunuburi,Maamigili,,
18,Kudarah,12/8/2016,3.559192,72.923971,Alifu Dhaalu,Ariatholhu Dhekunuburi,Dhigurah,,
19,Feydhoo Wall,12/9/2016,4.21555,73.486937,Kaafu,Male'atholhu,Feydhoofinolhu,,
20,Bandos Rock,12/9/2016,4.27246,73.493512,Kaafu,Male'atholhu,Bandos,,
